RegistrationNo,CompanyName,BuildingNumber,StreetName,TownName,CountrySubDivision,PostCode,Country
335800PKOIMN2T4FEU90,OM SAI SSS DEVELOPERS THANE,"1, 9","nan, SAITIRTH TOWER, SIDDHARTH NAGAR",THANE,IN-MH,400603,IN
64881GZ3TWFD15D90911,ABHISHEK RICE MILL,1,"Dist, ABHISHEKRICE MILL, SIRPUR ROAD, GRAM DHAURABHATA, Balodabazar Bhatapara",Kasdol,,493335,IN
3358006WJKTLMOURFB92,SIKARWAR TRACTORS & MOTORS,1,"nan, AKODIA NAKA",SHUJALPUR,IN-MP,465333,IN
64887C081I3QD87UAZ80,EMERGENCY KITS INDIA PRIVATE LIMITED,"1, 1, 2, 178","nan, 1, Ashok Brindavan, Iyyappanthangal, No.1, 2/178, ASHOK BRINDHAVAN, Iyappanthangal",CHENNAI,,600056,IN
98450095J6982CF8F634,THE RAMA PROPERTIES,1,"nan, BY PASS, Dinanagar",Gurdaspur,IN-PB,143531,IN
98450090XC2CADE0F515,SHRI RAMRAGHAV TEXTILE,1,"Rabindranath Tagore Road, D.P.F LANE, BHARATHIAR, PAPPANAICKENPALAYAM",COIMBATORE,IN-TN,641037,IN
335800BN4KZOTSDHD477,SHREE SATGURU RICE INDUSTRIES,1,"MIDC Estate Gondia, E, SATGURU RICE INDUSTRIES, MUNDIPAR, MAHARASHTRA",GONDIA,IN-MH,441614,IN
98450086BCE8F46B8149,TIRUPATI RMC CORPORATION,"1, 198, 1","nan, 1, Gat no. 198/Plot No. 1, Behind Swaraj Petrolink",Shendre,IN-MH,415519,IN
984500A86EFEBC5D3537,BORDUBI ENGINEERING WORKS,1,"nan, Hoogrijan, Bordubi",Tinsukia,IN-AS,786601,IN
6488SVI79N12WZ6R5191,HISSARIA GEMS PRIVATE LIMITED,1,"nan, NEAR BL HISSARIA JEWELLERS, Thana Road, Hind Variety Store",Hanumangarh,,335512,IN
335800M7E5IO6VK9IM24,KVP MEDIN LLP,"1, 116, 4, 1, 2PLOT, 401, 402","nan, 1-116/4/1, 2PLOT NO. 401, 402, VISAKHAPATNAM (RURAL)",VISAKHAPATNAM,IN-AP,530043,IN
335800F6CDJCJGPT4A18,ESWARA COCONUT TRADERS,"1, 143","nan, 1-143, PASARALAPUDI LANKA",MAMIDIKUDURU MANDAL,IN-AP,533248,IN
98450078B6C39HC8F519,SRI RAMA KRISHNA TRADERS,"1, 2","nan, 1-2, MAIN ROAD, OLD PATTABHI, Dr BR Ambedkar Konaseema",VEDURUMUDI,IN-AP,533307,IN
33580087ZZNELYX4PH83,HARIKRISHNA RICE INDUSTRIES,"1, 326","nan, 1-326, HARIKRISHNA RICE INDUSTRIES, SHAKAPURAM VILLAGE, SHAKAPURAM VILLAGE",NALGONDA,IN-TS,508278,IN
984500D72A70B3A50D91,INFINITHEIST POLY PRODUCTS PRIVATE LIMITED,"1, 5, 1 to 56","nan, 1-5-1 to 56, Market Yard, Bhainsa, Adilabad",Mudhole,IN-TS,504103,IN
984500B2BB9DE7C1Z445,ROYAL ASSOCIATES,"1, B2, P1","nan, 1-B2/P1, KIADB, Doddabasavanahalli Hobali, Hassan Growth Center",Hassan,IN-KA,573201,IN
984500AFCXLBM48DTC66,SRI VENKHATESWARA RICE MILLS,"1, 138","Hosur Road, 1/138, RAYAKOTTAI",KRISHNAGIRI,IN-TN,635116,IN
984500CRD1270E566126,AGATHIYAR SITTHAR MEDICAL EDUCATIONAL AND RESEARCH TRUST,"1, 153","nan, 1/153, Janapan Chiachiratham, Koot Road",Poneri,IN-TN,600067,IN
98450055A025229A9829,PALLADAM POLYMER PRIVATE LIMITED,"1, 323","nan, 1/323, Samy Goundan Pudur, Semmipalayam, Ksn Puram, Palladam",Coimbatore,IN-TN,641662,IN
64884TK428VPPM233T97,SRI THIRUMALA PARABOILED RICE INDUSTRIES,"10, 2, 1, 489","nan, 10-2/1 Sy No. 489/E, Narsingi, Telangana",Medak,,502248,IN
98450074E3QI479ADF98,INDIGO TMT STEEL BARS,"10, 415","nan, 10/415, MENONPARA CHULLIMADA ROAD, NEAR PUBLIC DISTRIBUTION CENTRE, MENONPARA",Palakkad,IN-KA,678556,IN
335800EUA5H9YSFSZ636,M M TOURS & TRAVELS,101,"nan, HIMMAT PALACE, OPP SANTOSH DAIRY FARM, KISHOR SINHJI MAIN ROAD, NEAR PALACE ROAD",RAJKOT,IN-GJ,360002,IN
64882TQP547Q8K8QG017,MANGALMURTI VINCOM PRIVATE LIMITED,"101, 1ST, 101, 1ST","18, Prince Anwar Shah Road, 101, 1ST FLOOR, Rajendra Prasad Colony, Tollygunge, 101, 1ST FLOOR, West Bengal",Kolkata,,700033,IN
8945007CTWSQ193GXI85,NAYA PHARMA PRIVATE LIMITED,"101, 72, 101, 2","nan, 101, SBH Colony, Yousufguda, PLOT No.72 FLAT No.101, PADMAJA COURTS-2 SRINAGAR COLONY",HYDERABAD,,500008,IN
335800KSNPSF79XNCU57,ALPHA TND PRIVATE LIMITED,"1019, 10TH, 215","Andheri - Kurla Road, 1019, 10TH FLOOR, C WING, 215, ATRIUM, ANDHERI-EAST",MUMBAI,IN-MH,400093,IN
984500BD76F59656AC32,FORTUNER PACKAGING (INDIA) PRIVATE LIMITED,"102, 5","nan, 102/5, Jasmine Block Amravati Appartment, Baddi",Solan,IN-HP,173205,IN
648853US0A7LG910FD91,GODAWARI ESTATES PVT LTD,"102, 102, 8","nan, 102/B, Muktanand Nagar, Durgapura, 102/B Plot no. 8, Tonk Road, Rajasthan",Jaipur,,302018,IN
984500FD55F11E7AE140,INNOVATIVE SOLAR SOLUTIONS,"102, 2nd","Magadi Main Road, 102/C Shed, 2nd, Machohalli, Bapagrama",Bengaluru,IN-KA,560091,IN
9845009B36E4614A4459,RISHABH GUPTA CORP PRIVATE LIMITED,1020,"55, Gamdevi Road, PLAZA PANCHSIL",MUMBAI,IN-MH,400007,IN
335800GJHVAEOB49HO05,RAHAMANIYA ARECANUTS,103,"nan, ABDUL RAHAMAN, BY PASS ROAD, ARAKALGUD, HASSAN",ARAKALGUD,IN-KA,573102,IN
984500963C41CFED9687,EAZY APPARELS,"103, 23A, 104E, 103","23, Humayun Kabir Sarani, 103, Block F, New Alipore, 23A/104E, 103, DIAMOND HARBOUR ROAD",Kolkata,IN-WB,700053,IN
254900VMLB091HRF2702,SUNSOLE SOLAR PRIVATE LIMITED,"105, 1st","New Link Road, Flr, E Wing, Corporate Avenue, A K Chakala Andheri E, Airport (Mumbai)",Mumbai,IN-MH,400099,IN
254900WJ719GP8Q4Y837,ZONRENEW SOLAR PRIVATE LIMITED,"105, 1st","New Link Road, Flr, E Wing, Corporate Avenue, A K Rd, Chakala, Andheri E, Airport (Mumbai)",Mumbai,IN-MH,400099,IN
254900MW4AZH09G4VQ23,CLEANTECH GREEN ENERGY PRIVATE LIMITED,"105, 1st","New Link Road, Flr, E Wing, Corporate Avenue, A K Rd, Chakala, Andheri E, Airport (Mumbai)",Mumbai,IN-MH,400099,IN
3358004AAHIZ9KQFVT67,PUNEET METALS LLP,"10578, 6, 2","nan, 10578/6, SHANKAR GALI NO. 2 MOTIA KHAN, PAHARGANJ, NORTH DELHI, NEW DELHI",NEW DELHI,IN-DL,110055,IN
9845001A78A47CBE9464,KANAK DEVELOPERS,"109, 2A, 2, 3A","Nashik - Pune Road, 109/2A/2/3A, OFFICE SAMNANI CENTRAM",NASHIK,IN-MH,422101,IN
894500BFVI6WOH86T292,AVT AGRO FOODS,"1091, 1","nan, 1091/1, Veeranampalayam village, Kangeyam",Tirupur,,638701,IN
335800Q9MJ1JGB7KKX92,GALLOPS BUSINESS CORPORATES LLP,10TH,"Satellite Road, FLOOR ASTRON TECH PARK, S.G., AHMEDABAD, AHMEDABAD, GUJARAT, INDIA",AHMEDABAD,IN-GJ,380015,IN
335800SFBZ2GYE35F727,ABELLON WASTE MANAGEMENT LIMITED,10TH,"nan, FLOOR SANGEETA COMPLNEAR PARIMAL, CROSSING",AHMEDABAD,IN-GJ,380006,IN
9845005CE373CTACC818,SENCO GOLD ARTISANSHIP PRIVATE LIMITED,"10th, 41A","41-A, Acharya Jagdish Chandra Bose Road, 10th floor, Taltala, Diamond Prestige, 41A, A.J.C.",Kolkata,IN-WB,700017,IN
984500C4A1CE38E15F13,SENNES FASHION LIMITED,"10th, 41A, 1001","41-A, Acharya Jagdish Chandra Bose Road, 10th floor, Taltala, Diamond Prestige, 41A, A.J.C., Unit no. 1001, Shakespeare Sarani",Kolkata,IN-WB,700017,IN
3358008YXMKDJDCPL875,SAI RAGHAVA RICE MILL,"11, 190","nan, 11-190, MAIN ROAD, VISSANNAPETA MANDAL, VISSANNAPETA MANDAL, PUTRELA",VISANNAPETA,IN-AP,521227,IN
335800GX72DM39ASL690,LURDH MATHA CONSTRUCTIONS,"11, 10D","nan, 11/10D, THANNICKAL BUILDINGS, MURICKASERRY, VATHIKUDY",IDUKKI,IN-KL,685604,IN
335800BRI21JS6TGQV32,PCK AGRI VENTURES PRIVATE LIMITED,"11, 6","nan, 11/6 PPVN STREET",VIRUDHUNAGAR,IN-TN,626001,IN
335800IHUJDTKKZXEJ30,JUNIPER GREEN INDIA ALPHA PRIVATE LIMITED,"1103A, 1103B, 11TH, 89","Nehru Place Market Road, 1103A & 1103B, 11TH FLOOR, HEMKUNT CHAMBER, 89, SOUTH DELHI",NEW DELHI,IN-DL,110019,IN
335800CYS13IJOUJ7S97,JUNIPER GREEN BESS ZETA PRIVATE LIMITED,"1103A, 1103B, 11TH, 89","Nehru Place Market Road, 1103A & 1103B, 11TH FLOOR, HEMKUNT CHAMBER, 89, SOUTH DELHI",NEW DELHI,IN-DL,110019,IN
335800HMZB4KDK2D7L77,JUNIPER GREEN INFINITE PRIVATE LIMITED,"1103A, 1103B, 11TH, 89","Nehru Place Market Road, 1103A & 1103B, 11TH FLOOR, HEMKUNT CHAMBER, 89, SOUTH DELHI",NEW DELHI,IN-DL,110019,IN
335800L2WNGP5VIMRM86,GRIT WEALTH AND INVESTMENT MANAGEMENT PRIVATE LIMITED,"1104, 1104, TOWER 2","Crescent Bay Road, 1104,TOWER, Shivaji Nagar, Parel, 1104, TOWER 2, JERBAI WADIA, MUMBAI",MUMBAI,IN-MH,400012,IN
984500G4702ED5P08915,GENERAL ATOMICS GLOBAL INDIA PRIVATE LIMITED,"1105, 11th, 1105, 11th","24, Barakhamba Road, 1105, 11th Floor, Fire Brigade Lane, 1105, 11th Floor, Ashoka Estate, Connaught Place",New Delhi,IN-DL,110001,IN
6488MEK8OXG640133A09,JAYAMARUTHI RICE INDUSTRIES,"1145, 5A","1145, Tiruppur Road, 1145/5A, TIRUPUR, NEELAKATTUPUDUR SIVANMALAI VILLAGE - KANGAYAM, Tamil Nadu",Tiruppur,,638701,IN
3358003PATRG1S7VP623,SILVER FOUNDRY LLP,"115, OLD SURVEY NO 43, NEW SURVEY NO 115, PLOT NO 1","nan, 115, PLOT, OLD SURVEY NO 43, NEW SURVEY NO 115, PLOT NO 1, PIPLANA, KOTDA SANGANI, VERAVAL (SHAPAR)",RAJKOT,IN-GJ,360024,IN
335800KW3PRZE3SD5921,SNH GLOBAL PRIVATE LIMITED,"115, 7A2EAST","nan, 115/7A2EAST STREET, CUDDALORE",PANRUTI,IN-TN,607805,IN
6488A44VO2A983HU3J28,NAKHUA ENTERPRISE,1151,"nan, shakti dream house, near rata gaushala, Rata",Valsad,,396191,IN
335800LIKH2KNLMDGQ54,BILLTECH ELECTRICALS PRIVATE LIMITED,"116, 116, POCKET 4, 1","nan, 116 F, POCKET, Pratap Nagar, Mayur Vihar, 116 F, POCKET 4 PHASE-1, EAST DELHI",NEW DELHI,IN-DL,110091,IN
984500Y09A7836E9D228,DAWANA MAIZE PRIVATE LIMITED,"117, 118, 124, 2, 2, 10","nan, 117, 118, 124/2/2, Ward N, 10, Talai Pura, Rangaon, Barwani",Thikari,IN-MP,451660,IN
64884YOA79I572T0EG85,HTE ENGINEERS PRIVATE LIMITED,"117, 1","nan, 117, RAVINDRA NAGAR, FNG-1 MANGALAM MAHAK APPARTMENT",INDORE,,452018,IN
3358009TDOC65W39ND42,TOPNOTCH CONES PRIVATE LIMITED,"118, 118, 24","64, Debinibas Road, 118, Amarpalli, Dum Dum, OLD NO. 118/24",KOLKATA,IN-WB,700074,IN
3358009KW3CFAVUL6J76,NEO SUN INDUSTRIES LIMITED,"119, 119, 402","nan, 119, Guttala_Begumpet, Kavuri Hills, Madhapur, IVY TERRACE, PLOT NO.119, FLAT NO.402, GUTTALABEGUMPET VILLAGE",HYDERABAD,IN-TS,500081,IN
335800YRBUGMYH8Y2331,SREE SREE GAS AGENCIES,"12, 90","Shobhanadri Gudem Road, 12-90, KK, KODAD, SURYAPET",SURYAPET,IN-TS,508206,IN
89450042KV33RJO6EU44,FIRE ARCOR INFRASTRUCTURE PRIVATE LIMITED,"120, 2","nan, 120/2, Mouza Kothewada",Nagpur,,441114,IN
984500C3E581456C5C89,GREENFINITY,1205,"nan, WESTPORT, B/S TAJ SKYLINE, SINDHU BHAVAN ROAD",AHMEDABAD,IN-GJ,380059,IN
335800KZGQZ6N2NHWL23,MASTER PACK (INDIA) PRIVATE LIMITED,1209 HEMKUNT CHAMBERS89,Nehru Place Market Road,NEW DELHI,IN-DL,110019,IN
8945004NZCETHYJED232,GTS CONTROLS & ENERGY SYSTEMS PRIVATE LIMITED,1210 Centrum Plot no C 3,nan,Thane,,400604,IN
98450039B887XDD5A417,HAPPINESS HARMONY PROPERTY DEVELOPERS PRIVATE LIMITED,"123, 4th, 123","124, Nungambakkam High Road, 123, Thousand Lights West, Thousand Lights, Ispahani Centre, 4th Floor, Door No. 123",CHENNAI,IN-TN,600034,IN
984500AFC70E013CE147,EMERALD HAVEN PROPERTY DEVELOPMENT LIMITED,"123, 4th, 123","124, Nungambakkam High Road, 123, Thousand Lights West, Thousand Lights, Ispahani Centre, 4th Floor, Door No. 123",Chennai,IN-TN,600034,IN
984500CE75006F6BFD26,EMERALD HAVEN PROPERTIES PRIVATE LIMITED,"123, 4th","124, Nungambakkam High Road, 123, Thousand Lights West, Thousand Lights, Ispahani Centre, 4th floor, Highroad",Chennai,IN-TN,600034,IN
984500C1B18DFCB6C657,EMERALD HAVEN BUILDERS PRIVATE LIMITED,"123, 4th","124, Nungambakkam High Road, 123, Thousand Lights West, Thousand Lights, Ispahani Centre, 4th floor, Highroad",Chennai,IN-TN,600034,IN
984500986E5ARE43D704,EMERALD HAVEN RESIDENCES PRIVATE LIMITED,"123, 4th, 123","124, Nungambakkam High Road, 123, Thousand Lights West, Thousand Lights, Ispahani Centre, 4th floor, No. 123",Chennai,IN-TN,600034,IN
89450046KZD2D291FA41,BLUE STONE DEVELOPERS LLP,"124, 138","nan, 124/138 victoria road sant savta marg",mumbai,,400027,IN
984500DCC02AX5E95F98,AARUDA PAINTS AND COATINGS,"125, 168, 3rd 4","nan, 125/ 168, Sri Kumbeshavara, 3rd 4th Main, M.S Ramaiah Enclave",Bengaluru,IN-KA,560073,IN
335800J63SEU1QU31O46,ATHOM TRENDZ PRIVATE LIMITED,"127, Stage 2, SURVEY NO 127, SITE NO 35","nan, 127, SITE, RHCS Layout, Stage 2, Srigandadakaval, SURVEY NO 127, SITE NO 35, SRIGANDHADA KAVAL, MAGADI MAIN ROAD, SUNKADAKATTE",BENGALURU,IN-KA,560091,IN
98450050063TAHE0E809,TECHNO INDIA PROJECT PRIVATE LIMITED,12TH,"33 A, Jawaharlal Nehru Road, FLOOR, Park Street area, CHATTERJEE INTERNATIONAL CENTRE, CHOWRINGHEE",Kolkata,IN-WB,700071,IN
33580036IXN5ZSJ1N696,CLEAN MAX DENALI PRIVATE LIMITED,13 A PLOT 400,"nan, PEREGRINE APARTMENT, SVS MARG, KISMAT CINEMA",MUMBAI,IN-MH,400025,IN
335800PYBB3DCR9UKO71,TALENTNEXA SERVICES PRIVATE LIMITED,"13, 13","1, RTO Office Road, 13, Purnanagar, Chinchwad, BLD NO. 13, FLAT NO., NEAR, PURNA NAGAR",PUNE,IN-MH,411019,IN
9845007F3M5D2AC70C57,LAMBODAR REALMART PRIVATE LIMITED,"13, 14","SGSITS Road, 13-14, Dhenu Market",Indore,IN-MP,452003,IN
9845000EDFB90B977A11,PENTA BALA KAMESWARA RAO,"13, 1, 121","KT Road (Kasibugga-Tharlakota Road), 13/1/121/a, K T, Palasa",Srikakulam,IN-AP,532221,IN
335800MIB53S8XQ3BJ32,VERONICA PRODUCTION LIMITED,130,"nan, SILVER CHAMBER, TAGORE ROAD, OPP. ATUL MOTORS",RAJKOT,IN-GJ,360002,IN
89450071QT9G2LC5TI13,SHANTI OM RESIDENCY PRIVATE LIMITED,"1301, 13th","Senapati Bapat Marg, 1301, Peninsula Business Park, 13th Floor, Tower B, Lower Parel (West)",MUMBAI,,400013,IN
3358007L5XEZ64UK3I26,GOLDEN INVESTMENTS AND PROPERTIES LLP,1303,"Mulund - Goregaon Link Road, SYNERGY BUISNESS PARK, SAHKARWADI SAHAKAR SOC.BEHIND VIRVANI INDUSTRIAL ESTATE, EAST",MUMBAI,IN-MH,400063,IN
9845000D9CG52EOD9C14,KAWAL MOTORS PRIVATE LIMITED,"133, 236","nan, 133/236, TRANSPORT NAGAR",KANPUR,IN-UP,208023,IN
9845003DDD04U543K663,GRACO JUTE PRIVATE LIMITED,135,"nan, COTTON STREET, BALAJI TOWER",KOLKATA,IN-WB,700007,IN
335800IL3UUJH3RP5Q56,DTBX INNOVATE INDIA PRIVATE LIMITED,"1369, FLAT NO 1369, 1","50, Adarsh Nagar Road, 1369, FLOOR, Worli, FLAT NO 1369, FLOOR-1, A, M I G COLONY, VEER NARIMAN, WORLI COLONY",MUMBAI,IN-MH,400030,IN
254900N9GUF59ZNWQW70,Ultimate Alloys Private Limited,"138, 1","Trichy Road, 138/1 ABC, Kannampalayam Village, Sulur",Coimbatore,IN-TN,641402,IN
98450089F0E4CB4D6536,SREE BHRAMARAVASINI M SANDERS LLP,1397,"nan, MAIN ROAD, B BLOCK, GUDIBANDE, Chickballapur",Kolar,IN-KA,561209,IN
3358003JE2N21NLAUF36,CLEAN MAX PERIYAR PRIVATE LIMITED,13A PLOT 400,"Swatantryaveer Savarkar Road, PEREGRINE THE PEREGRINE APARTMENT, SVS MARG, KISMAT CINEMA",MUMBAI,IN-MH,400025,IN
335800VXSS76EMSL4H53,CLEAN MAX KAVERI PRIVATE LIMITED,13A PLOT400,"nan, PEREGRINE APTSVS MARG,, KISMAT CINEMA",MUMBAI,IN-MH,400025,IN
984500ECYB56TD0EEM39,J K CELEBRATIONS,13A,"nan, KINGSWAY CANTT",JABALPUR,IN-MP,482001,IN
89450067VGQI87BKVQ79,DEY'S METALS PRIVATE LIMITED,13A,"nan, SUKHDEV NAGAR",CHAS,,827013,IN
3358009LHDFEQMCMMF74,GOWTHAM TRAVELS,"13th, 1, 158, 13TH","nan, 13th, Karmika Nagar, Pendurthi, 1/158, SARADANAGAR, 13TH STREET, ANAKAPALLI, VISAKHAPATNAM",VISAKHAPATNAM,IN-AP,531001,IN
9845002D866CSF4H5125,SHREEHARI AGRICULTURE PRODUCTS PRIVATE LIMITED,14,"nan, SINGHIA TOWN/ VILLAGE SINGHIA",Samastipur,IN-BR,848209,IN
335800YT79UO9BWEJ282,SRI BALAJI GREEN POWER ENERGY,"14, 11","nan, A, C.M TOWER, RAJENDRA ROAD, NEAR RAILWAY STATION, TIRUPPUR",UDUMALPET,IN-TN,642126,IN
335800FNBGJPHFXE4D85,JY PUNE RESPIRONICS LLP,"14, OFFICE NO 14, 1229B","1229/B, Fergusson College Road, 14, Ganeshwadi, Shivajinagar, OFFICE NO 14, 1229B F.C., SHIVAJI NAGAR, PUNE, MAHARASHTRA, INDIA",PUNE,IN-MH,411004,IN
9845006456A1AB080686,MEDIHUB ENTERPRISES PRIVATE LIMITED,14,"nan, Saraswati Niketan, Fourth Floor R.N.T. Marg, Behind Dawa Bajar",Indore,IN-MP,452001,IN
335800J3YQH3CLBF2734,SAIRAM CONSTRUCTIONS,"14, 01, 4TH","nan, 14-01, KAKULARAMPALLI PANCHAYATHI, 4TH CROSS,SRI DHAKSHINAMURTHY NAGAR, OPPOSIT RELIANCE PETROL BUNK., ANNAMAYYA",PILERU,IN-AP,517214,IN
335800I9LQVX5E4IF972,MAHADEV,"14, 15, 8","nan, 14-15, BHARAT SMRUTI, N. H. NO. 8, DUNGRI",VALSAD,IN-GJ,396375,IN
335800437TV4YZJGIX86,R.B.HOME APPLIANCES INDIA PRIVATE LIMITED,"14, 15","nan, 14-15, GUJRATI SMAJ BUILDING, NEW ROAD, UJJAIN",UJJAIN,IN-MP,456001,IN
64888429CU3ZOXT4A898,LAKSHMI SAW MILL,"14, 1","East Coast Road, 14/1, THIRUVIDAIMARUDHUR MAIN, AMMACHATRAM POST, KUMBAKONAM TALUK, Tamil Nadu",Thanjavur,,612103,IN
335800TA1B8LY9637A77,RSG TELECOM,"1406, 103","Eastern Express Highway, 1406, Khopat, Thane West, 103 B WING, DEV CORPORA, OPP. CADBURY JUNCTION",THANE,IN-MH,400601,IN
984500FDDA3E390AD438,HEARTS2HELP FOUNDATION,"1446, 12","nan, 1446, WARD NO. 12, JINDAL CLOTH HOUSE WALI GALI, RANIA",SIRSA,IN-HR,125076,IN
984500102E79EA587458,P2 POWER RENEWABLE ENERGY PRIVATE LIMITED,"148e, 148e","13, Kalasapur Road, 148e, Plot, Hudco Colony, Rs No. 148e, Plot No.",Gadag,IN-KA,582101,IN
984500EF99700D995F37,MEENATCHI ENTERPRISES LLP,"149B, 2","149, Kamarajar Salai, 149B/2, G. C. Zone, Teppakulam",Madurai,IN-TN,625009,IN
98450074A75561D8W529,VYOM LIQUOR,"15, 15A","IIM Road, 15 & 15A, MADHUPURAM COLONY, BHITAULI KHURD",Lucknow,IN-UP,226020,IN
335800DD1ZFTPX6IAS68,RANGAM INFOTECH PRIVATE LIMITED,15,"Vasna Road, RANESHWAR SMRUTI BHAWAN, OPP. HP PETROL PUMP GOTRI-VASNA",VADODARA,IN-GJ,390015,IN
9845009AA5CDF8856T88,Sri Kodhanda Rama Transport,"15, 1, 503","nan, 15-1-503, Nehru Nagar Road, Macherla",Palnadu,IN-AP,522426,IN
984500A9U7B06BBZ7E80,M/S. SRI VENKATESHWARA AGRO INDUSTRIES,"15, 108, 10","nan, 15-108/F/10, ESHWAR COLONY",NAGARKURNOOL,IN-TS,509209,IN
984500DCB944F8389793,M/S SRI RAMAKRISHNA EDUCATIONAL SOCIETY,"15, 146","nan, 15-146, RAVIPRAKASH NAGAR, SUNKARAVARI STREET, NTR",NANDIGAMA,IN-AP,521185,IN
